define;sd
LDBL_DIG;3
PY_MAJOR_VERSION;5
HAVE_LIBREADLINE;6
ENOTDIR;1
xmlXPathCompiledEvalToBoolean;1
DBL_MAX_EXP;1
xmlUCSIsMiscellaneousSymbols;1
xmlRelaxNGGetParserErrors;1
xmlGetDtdQAttrDesc;1
xmlSAXParseDTD;1
DEBUG_RANGES;2
xmlDumpAttributeTable;1
xmlXPtrWrapLocationSet;1
xmlSetNs;1
xmlValidGetPotentialChildren;1
xmlReadIO;1
__xmlGenericErrorContext;1
xmlTextReaderPreservePattern;1
HAVE_VSPRINTF;1
xmlTextWriterWriteBase64;1
xmlBufferGrow;1
xmlCharInRange;1
xmlIsXHTML;1
xmlOutputBufferGetContent;1
xmlURIUnescapeString;1
xmlUCSIsRunic;1
EINVAL;2
xmlExpNewAtom;1
xmlOutputBufferCreateFilename;1
MAX_PUSH;1
xmlShellDir;1
xmlNanoFTPGet;1
xmlDocDumpFormatMemory;1
xmlGetParameterEntity;1
xmlRegisterOutputCallbacks;1
xmlNewDocTextLen;1
xmlXPathParseName;1
SPECIFIER_USER_DEFINED_BEGIN;1
xmlNanoFTPQuit;1
__xmlGenericError;1
xmlGetProp;1
xmlUCSIsLatinExtendedB;1
xmlACatalogResolveURI;1
HAVE_SSCANF;1
xmlIsBlank;1
WITH_BUFFER_COMPAT;2
xmlLoadCatalog;1
WITHOUT_TRIO;20
xmlCatalogFreeLocal;1
xmlXPathEval;1
QUALIFIER_VARSIZE;4
xmlUCSIsTags;1
xmlNewPI;1
xmlNanoFTPGetResponse;1
xmlUCSIsLowSurrogates;1
xmlUCSIsOsmanya;1
xmlIsMainThread;1
xmlThrDefDoValidityCheckingDefaultValue;1
HAVE_BEOS;1
xmlUCSIsBoxDrawing;1
xmlStrndup;1
xmlTextReaderValue;1
HAVE_DLOPEN;6
xmlTextReaderIsValid;1
xmlUCSIsByzantineMusicalSymbols;1
xmlFreeRMutex;1
htmlDefaultSAXHandlerInit;1
LIBXML_READER_ENABLED;150
xmlNamespaceParseQName;1
xmlShellPrintXPathError;1
xmlCatalogResolve;1
xmlTextReaderConstName;1
MAP_FAILED;2
xmlSchemaNewValidCtxt;1
xmlUCSIsKhmer;1
xmlParseCharRef;1
__CYGWIN__;54
xmlIOFTPRead;1
xmlCopyCharMultiByte;1
xmlParseVersionNum;1
xmlDictCreate;1
xmlNodeDump;1
htmlElementAllowedHere;1
LIBXML_SAX1_ENABLED;108
xmlNanoHTTPContentLength;1
HAVE_STDLIB_H;16
xmlReaderWalker;1
xmlTextReaderNodeType;1
xmlIsBlankNode;1
xmlRelaxNGFree;1
PATH_MAX;3
xmlBufGetNodeContent;1
xmlFreeProp;1
xmlParseAttributeType;1
DEBUG_IDC;2
DEBUG_CONTENT_REGEXP;1
xmlC14NDocSave;1
xmlFreeDocElementContent;1
xmlStrcmp;1
xmlDocSetRootElement;1
LIBXML_MODULES_ENABLED;26
xmlCheckVersion;1
DEBUG_INCLUDE;1
xmlRegFreeRegexp;1
LIBXML_THREAD_ENABLED;40
__sun__;3
xmlIOFTPOpen;1
xmlXPtrLocationSetMerge;1
DEBUG_DERIV;1
xmlMemoryDump;1
xmlAutomataNewCountTrans;1
xmlMalloc;1
xmlSearchNs;1
TRIO_MINIMAL;8
xmlParserInputBufferCreateIO;1
xmlTextReaderReadAttributeValue;1
xmlXIncludeProcessTreeFlags;1
xmlSplitQName;1
xmlUCSIsGeorgian;1
xmlValidNormalizeAttributeValue;1
xmlSAX2GetLineNumber;1
DEBUG_COMPACTION;1
xmlSetFeature;1
xmlAutomataNewAllTrans;1
xmlParsePubidLiteral;1
xmlNewCharRef;1
xmlUCSIsArabic;1
xmlUCSIsMiscellaneousMathematicalSymbolsB;1
xmlMutexUnlock;1
xmlNanoHTTPCleanup;1
xmlSAXUserParseFile;1
xmlParseQuotedString;1
DV;1
xmlXPathCastStringToNumber;1
XP_OPTIMIZED_FILTER_FIRST;3
xmlXPathNewCString;1
xmlGenericErrorContext;3
xmlTextReaderIsNamespaceDecl;1
HAVE_CONFIG_H;2
SUN4;2
xmlStopParser;1
xmlReadFd;1
CLOCKS_PER_SEC;2
WITH_PRINT;1
xmlMemDisplay;1
xmlACatalogResolveSystem;1
DEBUG_BUFFER;1
xmlUnlockLibrary;1
xmlCreateDocParserCtxt;1
xmlThrDefParserInputBufferCreateFilenameDefault;1
xmlUCSIsTaiXuanJingSymbols;1
HAVE_PUTENV;1
htmlDocDump;1
xmlAddID;1
xmlSAX2ProcessingInstruction;1
xmlCheckFilename;1
xmlTextReaderRelaxNGValidate;1
xmlFreeNodeList;1
xmlXPathDivValues;1
xmlXPathPositionFunction;1
xmlUCSIsTelugu;1
xmlLsCountNode;1
xmlParseCatalogFile;1
htmlParseEntityRef;1
SIZE_T_MAX;1
xmlOutputBufferWrite;1
xmlUCSIsCatMn;1
xmlUCSIsCatMc;1
xmlUCSIsCatMe;1
xmlGetEncodingAlias;1
xmlAutomataNewNegTrans;1
xmlACatalogAdd;1
LIBXML_LEGACY_ENABLED;33
xmlNewNsPropEatName;1
TRIO_COMPILER_SUNPRO;4
DEBUG_EXTERNAL_ENTITIES;1
xmlMemMalloc;1
xmlXPtrNewRangeNodePoint;1
IS_OP;1
xmlHashAddEntry2;1
xmlHashQLookup3;1
xmlHashQLookup2;1
SO_ERROR;1
xmlXPathFreeObject;1
DEBUG_AUTOMATA;1
xmlXPathEvalPredicate;1
xmlStrdup;1
xmlXPathFreeNodeSetList;1
xmlTextWriterEndDTDElement;1
xmlExpFreeCtxt;1
xmlSchemaSetValidErrors;1
xmlCtxtReadDoc;1
xmlShellBase;1
xmlCharEncInFunc;1
xmlSchematronValidateDoc;1
inputPush;1
xmlTextReaderQuoteChar;1
xmlInitCharEncodingHandlers;1
xmlRegisterInputCallbacks;1
xmlPatternMaxDepth;1
xmlStrPrintf;1
xmlRegexpCompile;1
xmlXPathRegisteredNsCleanup;1
xmlUCSIsKannada;1
htmlReadIO;1
xmlTextReaderConstValue;1
xmlCatalogSetDefaultPrefer;1
xmlFreeElementContent;1
xmlValidatePushCData;1
xmlXPathPopNodeSet;1
xmlSchemaGetCanonValueWhtsp;1
xmlRegNewExecCtxt;1
xmlXPathCastToNumber;1
xmlFirstElementChild;1
xmlAutomataIsDeterminist;1
xmlExpCtxtNbCons;1
xmlSAXParseFile;1
xmlNanoHTTPReturnCode;1
xmlXPathFloorFunction;1
xmlUCSIsTibetan;1
SORT_CMP;1
LIBXML_HTTP_ENABLED;110
xmlUTF8Strndup;1
xmlAutomataNewTransition;1
xmlFreeParserCtxt;1
xmlTextWriterEndElement;1
_WIN32;98
ECHILD;1
xmlNewGlobalNs;1
LIBXML_ICONV_ENABLED;14
LIBXML_WRITER_ENABLED;127
DEBUG_PUSH;4
xmlXPathStringLengthFunction;1
HAVE_STRFTIME;1
xmlDocDump;1
SPECIFIER_BINARY;1
xmlXPathNextSelf;1
